2021-08-19 21:52:34 status half-installed linux-headers-5.4.0-81:all 5.4.0-81.91
2021-08-19 21:52:35 status config-files linux-headers-5.4.0-81:all 5.4.0-81.91
2021-08-19 21:52:35 status not-installed linux-headers-5.4.0-81:all <none>
2021-08-19 21:52:35 status installed linux-image-virtual:amd64 5.4.0.81.85
2021-08-19 21:52:35 remove linux-image-virtual:amd64 5.4.0.81.85 <none>
2021-08-19 21:52:35 status half-configured linux-image-virtual:amd64 5.4.0.81.85
2021-08-19 21:52:35 status half-installed linux-image-virtual:amd64 5.4.0.81.85
2021-08-19 21:52:35 status config-files linux-image-virtual:amd64 5.4.0.81.85
2021-08-19 21:52:35 status not-installed linux-image-virtual:amd64 <none>
2021-08-19 21:52:35 status installed linux-image-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 remove linux-image-5.4.0-81-generic:amd64 5.4.0-81.91 <none>
2021-08-19 21:52:35 status half-configured linux-image-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status half-installed linux-image-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status config-files linux-image-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status installed linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 remove linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91 <none>
2021-08-19 21:52:35 status half-configured linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status half-installed linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status config-files linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 startup packages configure
2021-08-19 21:52:35 startup packages purge
2021-08-19 21:52:35 purge linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91 <none>
2021-08-19 21:52:35 status config-files linux-modules-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status not-installed linux-modules-5.4.0-81-generic:amd64 <none>
2021-08-19 21:52:35 purge linux-image-5.4.0-81-generic:amd64 5.4.0-81.91 <none>
2021-08-19 21:52:35 status config-files linux-image-5.4.0-81-generic:amd64 5.4.0-81.91
2021-08-19 21:52:35 status not-installed linux-image-5.4.0-81-generic:amd64 <none>
2021-08-19 21:52:35 startup packages configure
2021-08-19 21:52:38 startup packages remove
2021-08-19 21:52:38 status installed grub-pc:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status installed grub-gfxpayload-lists:amd64 0.7
2021-08-19 21:52:38 status installed grub2-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status installed grub-pc-bin:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status installed grub-common:amd64 2.04-1ubuntu26.13
2021-08-19 21:52:38 status installed os-prober:amd64 1.74ubuntu2
2021-08-19 21:52:38 remove os-prober:amd64 1.74ubuntu2 <none>
2021-08-19 21:52:38 status half-configured os-prober:amd64 1.74ubuntu2
2021-08-19 21:52:38 status half-installed os-prober:amd64 1.74ubuntu2
2021-08-19 21:52:38 status config-files os-prober:amd64 1.74ubuntu2
2021-08-19 21:52:38 status not-installed os-prober:amd64 <none>
